Molecule,Diamond,MCMM,SPMC,MCLMCS,LMCS
e1,0.003546451,4.11,4.69,5.94,5.97
e2,0.005442158,4.96,5.6,6.48,6.95
e3,0.005750162,3.69,4.07,5.15,5.53
e4,0.005783794,4.22,3.71,4.6,5.68
e5,0.005889059,3.82,3.88,4.77,5.13
e6,0.028105445,8.01,65.41,11.02,11.41
e7,0.014998897,4.98,5.81,6.91,7.35
e8,0.013297327,5.29,5.97,6.78,7.18
e9,0.200222632,66.12,15.81,22.37,23.51
e10,0.007684055,4.78,4.97,6.89,7.74
e11,0.009259722,4.36,4.94,6.26,7.13
e12,0.009594893,3.33,4.11,5.2,5.38
e13,0.008256951,3.93,4.49,6.15,6.54
e14,0.007454356,3.95,4.28,5.97,6.76
e15,0.029465471,5.14,8.26,7.91,8.67
e16,0.030081127,5.8,9.91,9.12,10.07
e17,0.030590517,5.13,8.72,8.01,9.06
e18,0.00927765,3.83,4.48,6.09,6.84
e19,0.013893221,4.71,4.85,7.49,8.13
e20,0.007664467,4.27,4.6,6.72,7.26
e21,0.009295712,3.87,4.61,7.17,7.25
e22,0.008332133,4.25,4.17,6.6,7.94
e23,0.031953323,5.48,7.53,9.13,9.78
e24,0.012355772,4.26,4.65,7.24,7.45
e25,0.0074611,4.12,4.5,6.61,8.16
e26,0.032314497,6.42,7.48,9.66,10.5
e27,0.03209184,4.51,7.84,8.12,8.95
e28,0.030404701,5.6,7.25,9.02,10.47
e29,0.010046515,4.68,5.05,8.21,8.3
e30,0.007730469,4.44,4.69,7.49,7.62
e31,0.009598634,4.54,4.73,6.65,7.82
e32,0.007738998,4.59,4.58,7.4,8.29
e33,0.247405086,11.74,8.94,13.5,14.39
e34,1.509564193,71.19,12.25,20.94,22.44
e35,27.07003177,364.5,17.84,33.31,34.41
e36,502.3080957,866.96,28.41,43.73,44.03
e37,0.990937604,19.24,12.96,19.9,21.77