Molecule,Lowest_Total_Energy,Total_Energy(kcal/mol),True_minimum,Multiple_minimum,Saddle_point,Conformers_within_1kcal,Conformers_within_3kcal,Conformers_within_5kcal,Minimum
e1,9.097,9.688666667,3,0,0,2,3,3,3
e2,12.289,12.289,3,0,0,3,3,3,3
e3,9.588,10.52766667,3,0,0,2,3,3,3
e4,9.588,10.52766667,3,0,0,2,3,3,3
e5,9.588,10.52766667,3,0,0,2,3,3,3
e6,20.035,23.3024,40,0,0,6,19,31,40
e7,12.039,14.53244,25,0,0,6,15,23,25
e8,13.006,14.65133333,9,0,0,3,7,9,9
e9,32.369,38.01531056,322,0,0,8,36,104,322
e10,14.412,17.20888889,9,0,0,6,6,7,9
e11,13.651,15.037,9,0,0,4,8,8,9
e12,42.805,43.99033333,9,0,0,5,9,9,9
e13,13.218,15.66177778,9,0,0,4,6,8,9
e14,14.544,16.75855556,9,0,0,4,5,8,9
e15,18.022,21.58671667,60,0,0,6,25,46,60
e16,22.149,26.16666667,54,0,0,2,14,40,54
e17,16.641,20.24270769,65,0,0,8,28,52,65
e18,13.218,15.66177778,9,0,0,4,6,8,9
e19,12.935,16.110625,24,0,0,6,14,18,24
e20,13.651,15.037,9,0,0,4,8,8,9
e21,13.651,15.037,9,0,0,4,8,8,9
e22,11.959,14.33177778,9,0,0,4,6,8,9
e23,14.978,18.42034667,75,0,0,12,40,58,75
e24,14.916,15.96177778,9,0,0,6,8,8,9
e25,12.078,14.702625,8,0,0,4,6,6,8
e26,17.176,20.5796,75,0,0,12,41,54,75
e27,2.51,6.672046154,65,0,0,6,20,41,65
e28,18.261,21.64282759,58,0,0,8,24,46,58
e29,16.952,19.58344444,9,0,0,1,6,7,9
e30,14.841,16.50344444,9,0,0,4,6,9,9
e31,14.841,16.50344444,9,0,0,4,6,9,9
e32,13.713,15.46455556,9,0,0,4,8,8,9
e33,20.813,27.58082353,542,0,0,10,76,185,542
e34,29.608,40.60060956,3428,0,0,8,48,256,3428
e35,43.128,54.36962069,2752,0,0,12,52,192,2752
e36,73.589,86.67182835,33901,0,10,34,272,1169,33901
e37,121.241,134.2316822,1613,0,0,14,30,72,1613