Molecule,Diamond_MM3_MacroModel,Diamond_MM3_RDKit,SPMC_MM3,MCMM_MM3,MCLMCS_MM3,LMCS_MM3
e1,9.097,9.097,9.097,9.097,9.097,9.097
e2,12.289,12.289,12.289,12.289,12.289,12.289
e3,9.588,9.588,9.588,9.588,9.588,9.588
e4,9.588,9.588,9.588,9.588,9.588,9.588
e5,9.588,9.588,9.588,9.588,9.588,9.588
e6,20.035,20.035,20.035,20.035,20.035,20.035
e7,12.039,12.039,12.039,12.039,12.039,12.039
e8,13.006,13.006,13.006,13.006,13.006,13.006
e9,32.369,32.369,39.432,32.369,32.369,32.369
e10,14.412,14.412,14.412,14.412,14.412,14.412
e11,13.651,13.651,13.651,13.651,13.651,13.651
e12,43.256,42.805,42.805,42.805,42.805,42.805
e13,13.218,13.218,13.218,13.218,13.218,13.218
e14,14.544,14.544,14.544,14.544,14.544,14.544
e15,18.022,18.022,18.022,18.022,18.022,18.022
e16,22.149,22.149,22.149,22.149,22.149,23.984
e17,16.641,16.641,16.641,16.641,16.641,16.641
e18,13.218,13.218,13.218,13.218,13.218,13.218
e19,12.935,12.935,12.935,12.935,12.935,12.935
e20,13.651,13.651,13.651,13.651,13.651,13.651
e21,13.651,13.651,13.651,13.651,13.651,13.651
e22,11.959,11.959,11.959,11.959,11.959,11.959
e23,14.978,14.978,14.978,14.978,14.978,14.978
e24,14.916,14.916,14.916,14.916,14.916,14.916
e25,12.078,12.078,12.078,12.078,12.078,12.078
e26,17.176,17.176,17.176,17.176,17.176,17.176
e27,2.51,2.51,2.51,2.51,2.51,2.51
e28,18.261,18.261,17.358,17.358,17.358,17.358
e29,16.952,16.952,16.952,16.952,16.952,16.952
e30,14.841,14.841,14.841,14.841,14.841,14.841
e31,14.841,14.841,14.841,14.841,14.841,14.841
e32,13.713,13.713,13.713,13.713,13.713,13.713
e33,20.813,20.813,22.552,20.813,20.813,20.813
e34,29.608,29.608,34.506,29.608,29.608,29.608
e35,46.565,43.128,46.101,38.648,38.648,43.128
e36,82.104,73.589,83.245,75.016,75.418,75.857
e37,121.376,121.241,126.693,120.439,120.439,120.439