Molecule,Diamond_RDKit,Diamond_MacroModel,SPMC,MCMM,MCLMCS,LMCS
e1,3,3,2,2,2,2
e2,3,3,1,1,1,1
e3,3,3,2,2,2,2
e4,3,3,2,2,2,2
e5,3,3,2,2,2,2
e6,31,31,22,22,17,17
e7,23,23,16,16,16,11
e8,9,9,14,14,14,11
e9,104,104,98,47,37,37
e10,7,7,4,4,4,3
e11,8,8,8,8,8,8
e12,9,9,15,15,15,15
e13,8,8,5,5,5,5
e14,8,8,5,5,5,5
e15,46,46,29,29,29,25
e16,40,40,27,27,27,28
e17,52,52,32,32,32,32
e18,8,8,5,5,5,5
e19,18,18,11,11,11,11
e20,8,8,8,8,8,8
e21,8,8,8,8,8,8
e22,8,8,5,5,5,3
e23,58,58,37,37,37,33
e24,8,8,12,12,12,12
e25,6,6,3,3,3,3
e26,54,54,56,59,59,59
e27,41,41,24,24,24,24
e28,46,46,39,40,40,40
e29,7,7,5,5,5,5
e30,9,9,6,6,6,6
e31,9,9,6,6,6,6
e32,8,8,5,5,5,5
e33,185,185,42,52,49,49
e34,256,256,75,39,45,40
e35,192,136,72,43,61,116
e36,1169,20,262,101,62,71
e37,72,168,126,99,143,151