Molecule,Geometry_generate_time,Minimization_time,Total_running_time,ave_running_time,Total_conformer_num,Output_conformer_num
e6,0.036329213,31.95,31.98632921,0.79965823,81,40
e2,0.005954095,2.06,2.065954095,0.688651365,3,3
e8,0.017061836,6.82,6.837061836,0.759673537,27,9
e3,0.006474061,2.01,2.016474061,0.67215802,3,3
e4,0.006238809,2.09,2.096238809,0.69874627,3,3
e1,0.005934417,2.06,2.065934417,0.688644806,3,3
e9,0.330253165,287.26,287.5902532,0.893137432,2187,322
e7,0.023179492,17.91,17.93317949,0.71732718,27,25
e5,0.006327329,2.08,2.086327329,0.695442443,3,3
e27,0.04876261,46.3,46.34876261,0.713057886,81,65
e32,0.011519367,6.1,6.111519367,0.679057707,9,9
e23,0.052867201,53.64,53.6928672,0.715904896,81,75
e33,0.427787958,363.68,364.107788,0.669315787,729,544
e15,0.047496399,43.01,43.0574964,0.71762494,81,60
e37,2.000821508,1307.42,1309.420822,0.804806897,6561,1627
e14,0.01122799,6.2,6.21122799,0.690136443,9,9
e34,3.885115777,2840.57,2844.455116,0.828803938,6561,3432
e13,0.011283351,6.09,6.101283351,0.677920372,9,9
e16,0.046749969,39.11,39.15674997,0.725124999,81,54
e12,0.011637069,5.93,5.941637069,0.660181897,9,9
e10,0.012419573,6.13,6.142419573,0.682491064,9,9
e36,857.3259885,46.06,903.3859885,37.64108285,4782969,24
e29,0.012394819,6.11,6.122394819,0.680266091,9,9
e24,0.012930567,6.11,6.122930567,0.680325619,9,9
e30,0.010887342,6.04,6.050887342,0.672320816,9,9
e18,0.012230412,6.16,6.172230412,0.685803379,9,9
e35,46.28843159,696.08,742.3684316,1.288834083,177147,576
e19,0.021328781,15.94,15.96132878,0.665055366,27,24
e22,0.011514316,6.02,6.031514316,0.670168257,9,9
e11,0.011489,5.96,5.971489,0.663498778,9,9
e17,0.047324256,46.47,46.51732426,0.715651142,81,65
e20,0.011240618,6.1,6.111240618,0.679026735,9,9
e28,0.044439965,41.81,41.85443997,0.721628275,81,58
e26,0.050417643,54.29,54.34041764,0.724538902,81,75
e21,0.011626954,6.18,6.191626954,0.68795855,9,9
e31,0.011689548,6.07,6.081689548,0.675743283,9,9
e25,0.010917494,5.44,5.450917494,0.681364687,9,8